keyword;page;sku_name;price;sold;gmv_estimation
Matoa;5;PROMO tanaman buah matoa cepat berbuah terbaru;220000;0;0
Matoa;5;alat pembungkus brongsong buah matoa kelengkeng kotbya 7351qf;34000;0;0
Matoa;5;Bibit Tanaman Buah Matoa Kelapa Unggul Agro Wisatani EE20;29000;0;0
Matoa;5;Bibit Pohon Matoa - Tanaman Buah Matoa Island Lychee Mirip Leci EE15;20000;0;0
Matoa;5;Bibit Tanaman Buah Matoa;42500;21;892500
Matoa;5;👍 Buah Matoa Papua Segar Manis Fresh;32000;0;0
Matoa;5;DURIAN PAPI MONTHONG CREAMY;138000;100;13800000
Matoa;5;TERMURAH - KING FRUIT Durian Super Montong Premium Durian 500 gram;115000;1000;115000000
Matoa;5;Durian Lokal Frozen;78000;0;0
Matoa;5;Durian Lokal Nusantara Super Premium - Frozen;90000;8;720000
Matoa;5;Buah kelapa kopyor genjah segar murah langsung dari pohon sendiri;35000;100;3500000
konichiwa;1;DRESS ANAK KONICHIWA EBV Baju Dress Anak Perempuan Import - Grey, M;114400;2;228800
konichiwa;1;Sandal konichiwa;65000;60;3900000
konichiwa;1;Sprei Anak Beverly 120x200 100x200 90x200 Hello Kitty Konichiwa;112500;3;337500
konichiwa;1;Kaos Tulisan Jepang - KONICHIWA - Baju Kaos Distro Pria Murah - FPC ID;34500;26;897000
konichiwa;1;[EP] Yuki Saito - Kanashimi yo Konichiwa (Maison Ikkoku);140000;0;0
konichiwa;1;KONICHIWA Sandal Jepit Dewasa Series 5;123000;0;0
konichiwa;1;KONICHIWA - Sarung Tangan Latex/Lateks | Gloves Isi 100;36500;0;0
konichiwa;1;konichiwa eyewear frame kacamata pure asetat 72011 kacamata cateye;115000;0;0
konichiwa;1;Diskon Harga Buku Travelling / Konichiwa Japan! / Buku Tentang Jepang;91800;0;0
